Ticker,Sector,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Total Cash Per Share,Total Debt/Equity,,0
BMZ,Materials,NA,5070,NA,NA,NA,6.74,0.08,51.66,-2.13,0,61.02,,
BOK,Materials,15840,29040,NA,NA,NA,97.46,2.06,183.79,-4.61,0.25,308.07,,
BLR,Energy,7770,5960,NA,NA,NA,NA,0.36,NA,-0.46,0,3.05,,
BRD,Materials,1710,3070,NA,NA,NA,56640.79,NA,133447.39,-11.57,0,NA,,
BKT,Materials,7070,3740,NA,NA,NA,NA,2.06,NA,-5.28,0.01,52.9,,
BSP,Energy,NA,698.72,NA,NA,NA,NA,0.03,NA,-1.98,0,NA,,
BGG,Energy,39960,114390,7.5,NA,NA,0.16,0.26,0.34,2.94,0.02,33.59,,
BLK,Materials,34680,25700,NA,NA,NA,48.1,1.89,47.82,-8,0,NA,,
BKL,Household & Personal Products,1230000,1370000,47.86,24.97,1.12,2.92,10.56,3.28,21.28,1.54,54.67,,
BWF,Diversified Financials,18140,16150,10.91,NA,NA,2.46,1.22,2.22,5.85,0.01,NA,,
BLZ,Energy,1100000,4690,NA,NA,NA,219836.77,NA,943.24,-7.71,0,418.28,,
BGH,Materials,1590,1690,NA,NA,NA,1.77,0.4,1.89,4.55,0.01,12.85,,
BDI,Materials,1610,839.09,NA,NA,NA,NA,NA,NA,1.86,0,0.18,,
BUL,Energy,31950,24040,NA,NA,NA,101.67,0.44,79.33,-5.16,0.01,NA,,
BLA,Diversified Financials,239630,233160,31.95,17,1.09,4.49,4.77,4.4,18.67,0.22,23.12,,
BCT,Technology Hardware & Equipment,8880,7730,NA,NA,NA,125.41,4.58,119.79,-2.92,0.01,1.23,,
BSL,Materials,1720000,2320000,255.83,11.81,0.51,0.21,0.41,0.28,5.66,0.7,17.05,,
BLG,Semiconductors & Semiconductor Equipment,18700,17550,NA,NA,NA,36.05,1.38,33.82,-8.43,0.01,NA,,
BMG,Materials,NA,343.56,NA,NA,NA,18.11,0.15,16.22,-0.41,0,2.77,,
BOA,Materials,6870,3810,NA,NA,NA,62,1.9,34.11,-22.74,0.05,NA,,
BLY,Capital Goods,143630,649010,NA,NA,0.02,0.12,1.53,0.75,39.14,0.27,1020.19,,
BNE,Pharmaceuticals & Biotechnology,3090,1340,NA,NA,NA,NA,1.83,NA,NA,0.01,NA,,
BOL,Capital Goods,55800,133270,NA,NA,2.14,0.23,0.25,0.54,4.79,0.02,36.3,,
BBR,Materials,7010,809620,NA,NA,NA,14172.64,97.5,14098.58,NA,0,NA,,
BLD,Materials,4530000,5580000,15.28,17.35,1.06,1.04,1.33,1.25,13.63,0.46,35.62,,
BOE,Energy,10950,8270,NA,NA,NA,88.48,1.54,66.88,-223.22,0,NA,,
BML,Materials,4550,4070,NA,NA,NA,51.14,0.62,45.71,-4.49,0,NA,,
BOC,Materials,142380,128340,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BUY,Energy,11260,9400,NA,NA,NA,4.79,0.4,4,-14.53,0,NA,,
BPH,Pharmaceuticals & Biotechnology,1650,1610,NA,NA,NA,3.5,0.04,4.67,-4.29,0,2.1,,
BPS,Software & Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BKN,Capital Goods,401910,814320,NA,7.83,-2.8,0.35,0.57,0.76,21.64,0.84,87.06,,
BRC,Health Care Equipment & Services,30140,33020,NA,NA,NA,12.27,1.26,13.44,-15.94,0.05,42.06,,
BXB,Commercial Services & Supplies,17110000,20070000,28.89,26,2.63,3.1,6.55,3.63,12.89,0.14,117.01,,
BZL,Materials,16700,12400,NA,NA,NA,NA,0.45,NA,-6.92,0.01,NA,,
BRB,Materials,3410,2480,4.5,NA,NA,132.93,2.15,77.69,5.18,0.02,NA,,
BRG,Retailing,908060,974410,19.23,16.62,2.41,1.72,3.87,1.86,13.77,0.32,13.04,,
BKW,Materials,2150000,2530000,24.21,16.27,1.37,3.04,1.17,3.64,36.78,0.13,18.82,,
BYL,Capital Goods,43800,69810,4.37,4.31,NA,0.19,0.75,0.29,3.44,0.13,69.35,,
BTN,Materials,NA,2050,NA,NA,NA,NA,0.13,NA,-2.8,0,57.35,,
BBL,Media,28430,9740,36.25,NA,NA,0.87,0.95,0.33,8.84,0.16,NA,,
BRO,Telecommunication Services,4890,2530,NA,NA,NA,0.79,NA,0.78,-20.99,0,NA,,
BCK,Materials,419100,401000,NA,NA,NA,79.24,1.43,75.82,-21.69,0,NA,,
BPL,Materials,4970,5050,NA,NA,NA,14.13,1.92,14.37,-26.66,0,NA,,
BGR,Diversified Financials,3370,4050,NA,NA,NA,0.52,NA,1.27,-5.16,0,NA,,
BMY,Materials,4270,3500,NA,NA,NA,NA,3.2,NA,-13.51,0,NA,,
BSA,Commercial Services & Supplies,71890,73990,NA,8.5,NA,0.14,1.73,0.14,6.3,0.03,31.19,,
BTT,Diversified Financials,2290000,2410000,22.27,17.17,5.77,6.27,3.5,6.27,15.6,0.43,8.25,,
BUG,"Food, Beverage & Tobacco",29920,48490,27.6,NA,NA,0.46,0.67,0.75,-54.55,0.08,43.37,,
BNR,Materials,4700,3200,2.25,NA,NA,1.42,1.93,1.3,1.89,0.01,NA,,
BPF,Software & Services,27490,25820,10.21,NA,NA,1.26,8.57,1.22,9.61,0.04,76.19,,
BYR,Materials,16880,15140,NA,NA,NA,488.19,1.12,458.77,-22.75,0,NA,,
BUR,Energy,NA,576.6,NA,NA,NA,0.92,1.5,0.42,NA,0,NA,,
BAP,Retailing,552920,575740,46.3,21.12,1.5,1.54,5.12,1.61,15.39,0.06,59.67,,
BRU,Energy,156400,116910,NA,46,-0.92,10.33,1.2,7.72,-6.04,0.18,NA,,
BUX,Materials,7750,4460,NA,NA,NA,NA,3.12,-372,-1.33,0.03,NA,,
BWP,Real Estate,2040000,2510000,10.06,18.65,3.82,14.61,1.46,18.07,NA,0.03,33.33,,
BYE,Energy,41650,33290,NA,NA,NA,NA,1.31,NA,-13.15,0.01,4.52,,
BPG,Software & Services,2230,5910,NA,NA,NA,0.48,NA,1.27,9.13,0,NA,,
CAB,Commercial Services & Supplies,541940,728480,10.56,9.78,-1.23,2.81,1.42,3.73,8.97,0.2,36.39,,
CDM,Not Applic,306200,223670,75.83,NA,NA,1.4,1.01,1.14,NA,0.37,7.01,,
CAD,Materials,9700,8600,NA,NA,NA,345.7,15,316.91,NA,0,NA,,
CGH,Capital Goods,74250,61640,NA,4.2,NA,0.12,0.95,0.1,1.6,0.11,38.12,,
CUU,Energy,NA,932.29,NA,NA,NA,3268.52,2,2950.3,-2.45,0,NA,,
CTX,Energy,8640000,9770000,432.43,15.02,1.9,0.35,3.41,0.4,30.04,0.2,27.34,,
CAE,Materials,1270,1090,NA,NA,NA,78.09,0.4,66.77,-2.09,0,NA,,
CAY,Materials,5440,4580,NA,NA,NA,798.56,0.86,675.93,-2.23,0.01,NA,,
CFE,Materials,16920,3370,NA,NA,NA,3.5,0.1,0.67,-0.61,0.03,NA,,
CZZ,"Food, Beverage & Tobacco",102650,102690,16.56,13.72,0.43,0.99,3.1,1.02,9.58,0.41,24.05,,
CMY,Materials,3990,2370,NA,NA,NA,3162620.15,4,2368667.92,-1.04,0,NA,,
CAJ,Health Care Equipment & Services,452020,437120,43.25,28.83,NA,4.49,5.54,4.55,24.74,0.1,21.38,,
CAA,Materials,71200,54750,25,15,1.29,0.21,0.65,0.16,4.8,0.04,0.04,,
CAQ,Capital Goods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CVV,Materials,7190,6470,NA,NA,NA,170.53,1.67,160.91,-2.19,0,15.3,,
CRB,Materials,5460,1420,NA,NA,NA,32.77,1.37,8.08,-0.98,0.03,NA,,
CNQ,Materials,40120,40240,NA,NA,NA,NA,3.42,-1061.29,-13.98,0,10.32,,
CCF,Commercial Services & Supplies,3150,5920,NA,NA,NA,0.91,0.19,2.23,10.98,0,30.83,,
CNX,Energy,24130,34690,NA,NA,NA,12.24,0.19,16.72,-6.32,0,5.5,,
CRM,Energy,3380,-2090,NA,NA,NA,17.08,0.26,-10.53,NA,0.29,0.1,,
CDV,Materials,5770,5110,NA,NA,NA,738.76,4,653.9,-1.91,0.01,NA,,
CDD,Capital Goods,476740,715130,5.71,9.32,0.8,0.35,0.6,0.55,5.18,0.53,40.09,,
CDP,Real Estate,469000,692190,5.84,18.11,4.61,8.65,0.91,12.73,NA,0.02,41.86,,
CIN,Diversified Financials,851160,814980,23.62,NA,NA,22.6,1.2,21.67,NA,0.97,0.02,,
CVN,Energy,108880,67950,2.68,NA,1.22,5.06,0.78,3.24,3.68,0.05,NA,,
CAV,Materials,4920,2900,NA,NA,NA,103.49,2.56,64.28,-5.59,0.01,NA,,
CWE,Utilities,82520,82420,NA,NA,NA,51.9,0.91,51.01,-28.17,0,3.9,,
CAP,Materials,2790,-163.47,NA,NA,NA,17.73,0.41,-1.04,0.07,0.03,0.18,,
CAR,Software & Services,2460000,2650000,24.96,20.52,1.87,8.87,11.88,9.67,18.15,0.14,113.95,,
CCV,Retailing,340000,458310,33.81,7.89,NA,0.98,1.27,1.26,7.49,0.09,45.69,,
CZI,Materials,8350,6080,NA,NA,NA,NA,0.94,NA,-2.54,0.02,NA,,
CCZ,Materials,NA,247.52,NA,NA,NA,NA,0.11,NA,-0.4,0,NA,,
CDT,Materials,1050,1090,NA,NA,NA,31.49,3.33,24.43,-1.1,0,NA,,
CYL,Materials,19320,19280,NA,NA,NA,705.2,42.22,703.76,-16.8,0.01,NA,,
CAT,Technology Hardware & Equipment,118640,109430,NA,NA,NA,16.38,8.46,15.57,-51.9,0.08,NA,,
CXU,Energy,30130,23660,NA,NA,NA,4349.26,1.81,3966.35,-8.33,0.01,NA,,
CAZ,Materials,2610,2640,NA,NA,NA,8.3,0.12,8.83,-2.7,0,NA,,
CBC,Not Applic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CWP,Real Estate,405500,506520,13.6,9.18,1.86,2.15,1.57,2.68,12.17,0.05,37.25,,
CNL,Materials,9930,1620,NA,NA,NA,75.3,0.24,51.73,-0.78,0,NA,,
CDY,Pharmaceuticals & Biotechnology,18290,16340,NA,NA,NA,12.63,3.29,11.31,-4.45,0,NA,,
CLT,Technology Hardware & Equipment,10580,14700,NA,NA,NA,0.13,0.81,0.18,15.91,0.04,53.03,,
CLA,Materials,3020,6980,NA,NA,NA,1615.08,NA,4308.09,-1.83,0,NA,,
CTM,Materials,3460,1990,NA,NA,NA,NA,0.48,NA,-0.22,0,NA,,
CVR,Materials,1160,5400,NA,NA,NA,0.61,0.14,3.67,-9.96,0,95.95,,
CTP,Energy,53460,84230,NA,NA,NA,5.14,1.63,8.38,-5.76,0.02,120.69,,
CAF,Diversified Financials,75630,165900,13.42,12.75,NA,0.56,2.14,1.27,NA,0.09,303.68,,
CXM,Materials,24240,-9180,NA,NA,NA,712.73,0.46,-269.99,3.09,0.11,NA,,
CNI,Diversified Financials,75720,84180,6.59,NA,NA,1.8,0.69,1.99,4.85,0.3,27.68,,
CYA,Diversified Financials,57990,57690,19.77,NA,NA,18.85,0.91,18.64,NA,0.03,NA,,
CFU,Capital Goods,12170,12720,NA,NA,NA,1.67,1.33,2.08,-0.55,0,98.91,,
CVS,"Food, Beverage & Tobacco",1490,2240,NA,NA,NA,653.24,NA,981.58,-9.26,0,NA,,
CHN,Materials,32510,-10180,NA,NA,NA,313.34,0.58,-98.15,2.66,0.15,NA,,
CEL,Energy,22860,18990,NA,NA,NA,NA,4,-1187.67,-14.69,0,NA,,
CGF,Diversified Financials,3620000,-2280000,12,10.72,2.39,2.13,1.48,-1.35,-3.32,20.45,150.18,,
CHR,Transportation,23600,33920,68.89,NA,NA,0.38,0.7,0.55,7.7,0.2,34.92,,
CIA,Materials,15730,10980,NA,NA,NA,NA,0.19,NA,NA,0.02,NA,,
CHP,Diversified Financials,1150,929.32,NA,NA,NA,0.78,NA,0.97,-0.97,0.01,5913.34,,
CHC,Real Estate,1890000,1660000,17.38,15.47,2.54,8.32,1.76,8.44,15.46,0.04,0.04,,
CQR,Real Estate,1620000,2340000,10.69,13.9,5.04,7.21,1.22,10.48,NA,0.05,53.82,,
CHF,Diversified Financials,5450,16730,NA,NA,NA,15.96,NA,50.73,-8.42,0,1044.27,,
CHZ,Materials,7510,-69.79,0.68,NA,NA,10.54,1.03,-0.1,0.01,0.03,NA,,
CMC,Materials,10160,9130,NA,NA,NA,0.86,0.68,0.78,-3.37,0.02,6.56,,
CWC,Materials,27810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CYU,Materials,11830,5890,NA,NA,NA,452.58,0.87,341.89,-2.98,0,11.32,,
CDH,Materials,NA,1380,NA,NA,NA,0.54,0.17,1.9,12.22,NA,19.76,,
CNU,Telecommunication Services,1170000,2530000,13.95,10.46,-2.25,1.5,1.97,3.23,5.73,0.19,238.47,,
CYS,Materials,11400,9350,NA,NA,NA,243.73,2.38,212.83,-6.15,0,NA,,
CII,Materials,127140,69960,5.47,NA,NA,0.79,0.86,0.44,1.92,0.5,4.16,,
CIM,Capital Goods,7840000,8860000,12.09,15.24,-1.29,0.48,2.08,0.54,14.26,5.84,79.21,,
CIR,Pharmaceuticals & Biotechnology,22210,3220,NA,NA,NA,26.99,0.94,4.05,-0.42,0.13,NA,,
CTR,Energy,1730,-1110,NA,NA,NA,0.36,0.07,-0.33,0.22,0.17,3.87,,
CTO,Materials,43580,30290,NA,NA,NA,12.96,0.34,11.41,-5.76,0,3.33,,
CLY,Materials,2890,2150,NA,NA,NA,52.65,3.5,39.18,-1.47,0,NA,,
CND,Commercial Services & Supplies,23740,20360,NA,NA,NA,0.13,0.86,0.11,-14.41,0.05,5.22,,
CLZ,Materials,2710,2770,NA,NA,NA,NA,4,-7.09,-0.88,0,188.42,,
CSS,"Food, Beverage & Tobacco",66320,60030,6,6,NA,4.39,1.4,3.97,15.64,0.01,0.91,,
CLQ,Commercial Services & Supplies,81130,71090,NA,NA,NA,12.54,5.11,12.92,-18.9,0.01,28.9,,
CVW,Insurance,540250,377340,28.61,17.17,5.1,1.78,1.61,1.25,5.56,0.31,2.89,,
CDG,Materials,10940,25080,NA,NA,NA,173.88,1.8,399.24,-4.65,0,134.22,,
CAM,Not Applic,85200,-15480,NA,NA,NA,NA,0.84,9.45,NA,1.11,NA,,
CIW,Diversified Financials,37860,27490,12.54,NA,NA,4.27,1.6,3.06,12.26,0.26,NA,,
CUV,Pharmaceuticals & Biotechnology,135890,122400,NA,NA,NA,43.43,9.8,42.37,-12.2,0.28,NA,,
CLV,Health Care Equipment & Services,28910,23980,87.5,17.5,0.51,1.02,0.97,0.85,21.39,0.04,NA,,
CMI,Capital Goods,52170,47090,17.56,10.79,0.93,0.63,0.9,0.57,8.37,0.2,0.15,,
CGR,Commercial Services & Supplies,16440,23030,21.87,8.75,NA,0.1,1.58,0.14,11.36,0.03,83.12,,
CZA,Energy,183950,137250,NA,NA,NA,227.51,0.56,195.23,-4.18,0.01,NA,,
CBQ,Energy,2950,2990,NA,NA,NA,NA,0.27,-5099.43,-3.09,0,13.73,,
CPL,Energy,13470,87530,NA,NA,NA,NA,NA,NA,8.68,0.01,NA,,
CGW,Consumer Durables & Apparel,703810,374200,50,NA,NA,0.44,1.87,0.24,3.02,0.52,104.28,,
CXB,Materials,13820,7440,NA,NA,NA,NA,20,-19565.94,-2.9,0.01,NA,,
CCL,"Food, Beverage & Tobacco",7280000,9300000,26.8,18,3.08,1.47,4.33,1.88,10.44,1.07,161.84,,
COH,Health Care Equipment & Services,4730000,5150000,32.96,25.98,1.61,5.37,14.56,5.91,22.96,1.03,71.7,,
COK,Energy,100550,56080,NA,NA,NA,0.09,0.03,0.74,0.51,0,30.24,,
CDA,Technology Hardware & Equipment,203620,248410,20.18,12.78,0.49,1.47,1.65,1.78,14.02,0.04,48.06,,
COF,Commercial Services & Supplies,39650,99710,11.92,7.75,NA,0.06,0.25,0.17,5.04,0.12,64.4,,
CGS,Health Care Equipment & Services,27840,20580,NA,NA,NA,1.76,2.5,1.4,-4.8,0.05,NA,,
CKA,Materials,38200,49480,NA,NA,NA,591.85,0.69,776.35,-7.86,0.01,23.23,,
CL8,Software & Services,9160,9230,NA,NA,NA,2.71,2.82,2.55,-4.53,0,4.27,,
CLH,Commercial Services & Supplies,291260,351740,14.32,11.68,0.98,2.44,1.78,2.95,9.01,0.41,68.04,,
CKF,Consumer Services,238080,381170,NA,9.48,3.52,0.48,1.46,0.76,6.71,0.36,102.62,,
CKL,Materials,36840,72040,NA,7.17,3.59,0.23,0.66,0.44,6,0,64.42,,
CRL,Materials,1580,2.52,NA,NA,NA,NA,1,NA,0,0.02,NA,,
COI,Energy,39470,31810,NA,NA,NA,54795.72,0.72,48714.25,122.06,0.02,NA,,
CBA,Banks,130290000,276070000,15.1,14.06,4.08,5.88,2.58,12.47,NA,66.06,NA,,
COM,Software & Services,11500,10630,NA,NA,NA,1.85,1.58,1.71,-3.74,0,NA,,
CMP,Health Care Equipment & Services,41720,45140,27.78,NA,NA,1.25,3.87,1.41,18.9,0.01,24.75,,
CPU,Software & Services,6900000,8300000,54.43,19.7,3.59,3.49,6.29,4.16,17.6,0.79,151.04,,
CDB,Materials,1290,924.82,NA,NA,NA,59.43,0.11,58.59,-0.36,0,NA,,
CPD,Materials,1100,211.04,NA,NA,NA,52.45,2.13,10.08,-0.02,0.01,NA,,
CNJ,Materials,NA,1080,NA,NA,NA,1080.65,0.07,1259.93,-2.53,0,1.33,,
CXZ,Commercial Services & Supplies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CSD,Materials,16790,17010,NA,NA,NA,42.28,1.29,40.8,-13.18,0,NA,,
CTN,Diversified Financials,173560,173110,120.56,NA,NA,31.91,1,32.2,-61.43,0.19,15.1,,
CCC,Energy,1580,63650,NA,NA,NA,0.02,0.14,0.93,-23.8,0,740.35,,
COT,Diversified Financials,1390,126.71,NA,NA,NA,11.83,1.03,1.08,NA,0.06,NA,,
CVG,Materials,4900,7120,NA,NA,NA,7.93,0.47,11.51,-43.76,0,25.02,,
COE,Energy,89610,50060,NA,27,NA,1.53,0.83,0.86,2.48,0.11,NA,,
CSE,Materials,26180,24130,NA,NA,NA,196.71,0.71,242.73,-46.81,0.01,NA,,
COY,Materials,1920,2120,NA,NA,NA,316.03,0.17,348.54,-3.4,0,5.82,,
CZN,Materials,3090,1070,NA,NA,NA,NA,2.33,NA,-8.4,0,NA,,
CXO,Materials,4360,2460,NA,NA,NA,2541.38,0.57,1481.75,-2.85,0.01,NA,,
CTD,Consumer Services,1090000,997530,51.61,26.79,97.67,7.12,5.65,6.63,27.01,0.86,NA,,
COO,Software & Services,34450,22390,6.75,NA,NA,1.88,1.65,1.22,5.46,0.05,NA,,
CMT,Energy,2540,-8.7,NA,NA,NA,1.07,0.57,0,0,0.03,NA,,
CGM,Materials,1330,1950,2,NA,NA,0.47,3,0.46,-0.59,0,53.33,,
CUP,Commercial Services & Supplies,127250,137850,11.79,NA,NA,1.02,2.33,1.14,7.56,0.08,45.16,,
CCJ,Energy,3110,2330,NA,NA,NA,NA,0.24,NA,-2.01,0.01,NA,,
CVT,Software & Services,199990,138600,NA,NA,NA,59.31,11.25,53.08,-17.64,0.04,NA,,
CYG,Capital Goods,58650,30760,NA,NA,NA,0.29,0.46,0.15,-40.79,0.8,0.01,,
CYY,Materials,1820,1840,20,NA,NA,NA,5.75,NA,-2.69,0,NA,,
CVO,Insurance,740360,765560,27.09,21.18,2.45,3.27,3.66,3.43,17.18,0.07,28.38,,
CZR,Materials,22030,24060,NA,NA,NA,1396.48,1.5,1525.51,-13.37,0,NA,,
CGO,Software & Services,19850,18040,77.14,NA,NA,0.59,1.53,0.53,30.07,0.07,NA,,
CXX,Materials,25750,25980,NA,NA,NA,2938.81,1.39,2636,-13.64,0.02,NA,,
CGN,Materials,13360,18850,NA,NA,NA,NA,0.45,NA,-26.51,0,13.03,,
CCP,Commercial Services & Supplies,541670,571390,14.34,12.86,1.19,2.9,3.1,3.11,10.15,0.1,19.06,,
CRQ,Materials,1380,612.32,NA,NA,NA,646.78,1.56,286.53,-1.6,0.01,NA,,
CTT,Materials,NA,225.82,NA,NA,NA,NA,0.22,NA,-0.73,0.01,NA,,
CRX,Materials,NA,531.79,NA,NA,NA,32.92,0.05,58.57,-0.28,0,6.72,,
CMW,Real Estate,1840000,2680000,10.05,11.72,3.13,6.68,27.18,9.72,13.1,0.11,78.66,,
CUX,Materials,2250,1960,NA,NA,NA,214.47,0.39,199.97,-2.2,0,2.46,,
CM8,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CWN,Consumer Services,9480000,11570000,19.97,16.48,-7.55,2.88,2.15,3.57,14.66,0.56,60.73,,
CAS,Materials,24600,22540,NA,7.5,-0.04,1.29,0.9,1.33,6.83,0.02,16.84,,
CTE,Pharmaceuticals & Biotechnology,17810,13480,34.55,NA,NA,1.83,4.81,1.4,12.27,0.09,NA,,
CSV,Software & Services,440430,602020,35.23,19.38,1.3,2.1,1.79,2.86,19.82,0.07,64.44,,
CSL,Pharmaceuticals & Biotechnology,42330000,44630000,32.27,27.82,2.17,7.75,14.24,8.11,23.79,2.24,77.72,,
CLX,Transportation,87930,141860,11.48,NA,NA,0.65,1.43,1.07,8.1,0.05,97.66,,
CDU,Materials,354400,369820,NA,NA,NA,NA,0.77,NA,-78.7,0.03,18.83,,
CUE,Energy,60040,22940,4.78,8.6,NA,1.6,0.42,0.61,1.46,0.05,NA,,
CQC,Energy,31410,27870,NA,NA,NA,5234.2,0.47,4644.21,-10.38,0.01,NA,,
CUL,Materials,4880,3940,NA,NA,NA,42.53,0.8,36.58,-5.14,0,NA,,
CVC,Diversified Financials,173320,162300,6.33,NA,NA,1.27,0.96,1.15,2.94,0.54,18.72,,
CYC,Health Care Equipment & Services,34140,33420,8.5,NA,NA,2.81,4.37,2.77,39.76,0.06,3.17,,
CYP,Pharmaceuticals & Biotechnology,56820,49300,NA,NA,NA,NA,5.14,NA,-17.26,0.1,NA,,
DCN,Materials,42280,33790,NA,NA,NA,102.25,2.89,81.72,-5.76,0.08,0.23,,
DKO,Materials,1300,709.74,NA,NA,NA,NA,0.47,-198.64,-1.82,0.01,NA,,
DAU,Materials,1080,-1380,NA,NA,NA,12.1,0.27,-15.47,0.97,0.03,NA,,
DTM,Materials,4870,2060,NA,NA,NA,2.27,0.45,0.96,4.47,0.01,NA,,
DTL,Software & Services,130110,122530,15.36,14.08,74.11,0.15,3.99,0.15,8.9,0.04,2.42,,
DDT,Automobiles & Components,20300,16020,NA,NA,NA,2.77,2,2.28,-15.96,0.01,0.33,,
DTR,Materials,1370,1640,NA,NA,NA,198.01,0.18,236.09,-4.03,0.01,8.18,,
DEG,Materials,NA,792.39,NA,NA,NA,1.92,NA,1.66,-2.07,0,NA,,
DSX,Software & Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
DCG,Capital Goods,196680,136150,3.88,6.18,-0.26,0.26,0.63,0.18,1.8,0.35,1.01,,
DYL,Energy,22920,17690,NA,NA,NA,NA,0.29,NA,-10.76,0,NA,,
DLC,Retailing,1900,1450,NA,NA,NA,0.11,0.19,0.09,-0.56,0,NA,,
DSB,Capital Goods,3810,9620,NA,NA,NA,0.06,0.24,0.15,28.98,0.01,35.41,,
DMI,Materials,2180,1140,NA,NA,NA,161.24,2,84.33,-4.16,0.04,NA,,
DGH,Real Estate,31110,49070,16.61,NA,NA,11.15,1.18,17.76,35.32,0.18,89.43,,
DVN,Real Estate,116670,175670,31.96,NA,0.5,0.36,0.48,0.53,50.24,0.12,29.77,,
DXS,Real Estate,13950000,10340000,15.5,12.93,3.19,6.64,1.11,10.02,15.57,0.02,54.23,,
DGR,Materials,14230,15900,NA,NA,NA,10.34,0.44,11.74,-4.58,0,8.13,,
DRX,Materials,8100,6180,NA,NA,NA,27.13,0.5,23.09,-4,0,NA,,
DSH,Retailing,508500,502400,10.24,10.75,1.98,0.4,2.84,0.39,6.86,0.08,NA,,
DDR,Technology Hardware & Equipment,254880,347040,80.42,11.35,NA,0.25,11.64,0.35,14.4,0.14,581.48,,
DCC,Diversified Financials,32640,33070,NA,18.5,NA,3.55,4.88,3.48,8.03,0.03,NA,,
DGX,Capital Goods,10880,38680,7.67,NA,NA,0.09,0.75,0.3,-4.64,0.01,205.81,,
DML,Materials,12240,117510,0.7,NA,NA,0.08,0.2,0.76,36.88,0.01,183.8,,
DIS,Materials,3210,1340,NA,NA,NA,58.79,2.02,24.41,NA,0.06,NA,,
DVI,Consumer Services,8410,5050,NA,NA,NA,21.29,2.33,16.08,-5.64,0,NA,,
DVA,Diversified Financials,24040,21140,NA,NA,NA,4.27,2.71,3.76,-20.5,0.05,1.47,,
DUI,Diversified Financials,732280,792120,22.33,NA,NA,21.56,1.1,23.37,NA,0.18,12.75,,
DJW,Diversified Financials,1020000,1040000,25.19,NA,NA,18.71,1.31,19.28,NA,0.21,9.99,,
DMY,"Food, Beverage & Tobacco",2850,240.96,NA,NA,NA,NA,NA,NA,NA,0.01,NA,,
DME,Materials,87470,83910,NA,NA,NA,NA,3.25,NA,NA,0,10.46,,
DMP,Consumer Services,3.00E+06,3210000,56.25,38.93,1.84,4.49,10.87,4.84,30.86,0.49,44.97,,
DNA,Consumer Services,519480,276270,58.46,8.44,0.77,16.6,2.4,12.94,58.74,0.22,11.21,,
DRM,Materials,98280,72550,NA,5.86,NA,0.6,0.88,0.62,0.81,0.09,17.15,,
DVL,Pharmaceuticals & Biotechnology,33500,22310,NA,NA,NA,41.79,3.09,27.85,-3.01,0.08,NA,,
DUO,Materials,NA,364.65,NA,NA,NA,367.5,NA,318.47,-0.1,0,NA,,
DOW,Commercial Services & Supplies,2160000,2460000,11.04,10.64,-7.38,0.31,1.18,0.35,4.26,0.91,31.1,,
DLE,Materials,1440,59.16,NA,NA,NA,23.36,0.07,1.12,-0.09,0.01,NA,,
DRA,Materials,15100,-392.3,1.95,NA,NA,0.19,0.63,-0.01,-0.04,0.17,NA,,
DMG,Materials,3160,-1180,NA,NA,NA,18.2,0.71,-6.78,2.34,0.02,NA,,
DRG,Materials,1920,-426.27,NA,NA,NA,NA,0.91,NA,0.54,0.03,NA,,
DRK,Materials,3650,682.26,NA,NA,NA,13.96,0.16,6.54,-0.84,0,NA,,
DLS,Energy,497990,555120,10,9.82,-1.83,1.5,1.2,1.67,3.3,0.32,36.08,,
DGO,Materials,1040,1410,NA,NA,NA,2281.41,0.67,3098.63,-3.2,0,NA,,
DTI,Technology Hardware & Equipment,30340,27650,NA,9.12,NA,1.94,2.71,1.7,23.16,0.04,0.62,,
DUB,Software & Services,20120,6730,NA,NA,NA,476.11,5.2,456.05,-7.81,0,NA,,
DUE,Utilities,3720000,8900000,75.45,31.13,4.6,2.99,1.98,7.16,12.14,0.3,272.96,,
DKM,Materials,14440,5840,NA,NA,NA,NA,1.81,NA,NA,0.09,NA,,
DLX,Materials,2190000,2570000,23.43,17.39,4.24,1.33,6.89,1.56,11.69,0.11,132.27,,
DWS,Software & Services,87010,71330,7.76,7.33,-5.12,0.93,1.45,0.77,4.21,0.12,NA,,
DYE,Semiconductors & Semiconductor Equipment,74580,71440,NA,NA,NA,85.36,7.34,84.89,-6.2,0.02,11.16,,
DMA,Materials,1480,1080,NA,NA,NA,NA,10,-6.45,-1.04,0,NA,,
EAL,Capital Goods,21910,89820,3.56,NA,NA,0.11,0.33,0.4,6.08,0.02,83.94,,
EAF,Energy,1440,1020,NA,NA,NA,9.89,0.4,8.04,-1.46,0,NA,,
